Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Product: Data Scientist,Employer Provided Salary:₹34L - ₹51L,"Your Job
We’re looking for a Data Scientist to join our growing team here at Indeed.
Conceptualize, analyze, build, test, and implement models that utilize various and diverse data sets to solve problems related to the employment and recruiting industries
Build and implement machine learning models, testing frameworks, and visualizations to make timely decisions and influence the product roadmap
Proactively research data and identify opportunities in the data to drive the product roadmap",4.3,"Indeed
4.3",Hyderābād,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Data Scientist (BE/ B-tech 4-6 yrs),Employer Provided Salary:₹25L - ₹35L,"CommerceIQ is Hiring Data Scientist (3-5 yrs)
Data Scientist (4-6 Yrs exp)
At CommerceIQ, we are building the world’s most sophisticated E-commerce Channel Optimization software to help brands leverage Machine Learning, Analytics and Automation to grow their E-commerce business on all channels, globally.
As a Senior Data Scientist, you will work closely with Engineering/Product/Operations teams to build state-of-the-art ML-based solutions for B2B SaaS products. This entails not only leveraging advanced techniques for predictions, time-series forecasting, topic modelling, optimisation but deep understanding of business and product too.",4.2,"CommerceIQ
4.2",Bangalore,51 to 200 Employees,2012,Company - Private,Internet,Information Technology,$10 to $25 million (USD)
Senior Data Scientist,Employer Provided Salary:₹40L - ₹60L,"Your Job
As a Data Scientist at Indeed your role is to follow the data. Analyze and visualize them. You will also build and implement machine learning models to make timely decisions. You will have to effectively work independently and as part of a team, and be able to execute loosely-defined work items, including defining precise requirements. As a self-motivated and independent learner, you will also have access to unparalleled resources within Indeed to grow and develop skills both personally and professionally.

Responsibilities:
Support product development and initiatives, including understanding business needs, identifying product requirements and use-cases, documenting data requirements, etc.",4.3,"Indeed
4.3",Hyderābād,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Urgent Opening for DATA SCIENTIST ROLE,Employer Provided Salary:₹9L,"Experience: Fresher
Location:Work from Home till the situation becomes conducive for travel. Work location eventually will be Ban
Salary:Offered CTC: INR 9,00,000 (9 Lakhs Annual CTC)
Qualification:*Only 2021 & 2022 Bachelor Graduates should Apply
Job Description :
Should have familiarity with Machine Learning Models and fundamentals in Forecasting and Optimization Techniques
Should have strong mathematical background & analytical bent of mind
Past experience of participating in Hackathons/Competition",-1,iTech Analytic Solutions,Remote,-1,-1,-1,-1,-1,-1
Urgent Opening for DATA SCIENTIST ROLE,Employer Provided Salary:₹9L,"Experience: Fresher
Location:Work from Home till the situation becomes conducive for travel. Work location eventually will be Ban
Salary:Offered CTC: INR 9,00,000 (9 Lakhs Annual CTC)
Qualification:*Only 2021 & 2022 Bachelor Graduates should Apply
Job Description :
Should have familiarity with Machine Learning Models and fundamentals in Forecasting and Optimization Techniques
Should have strong mathematical background & analytical bent of mind
Past experience of participating in Hackathons/Competition",-1,iTech Analytic Solutions,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:₹25L,"Multiple development and support Data Science Projects
Multi Domain Data Scientist with 6months of Core Data Science experience, mostly in Machine Learning (Regression, Classification and time series models).
Person must be very strong on various type of ML models (How to select right model, expertise on various stages of model development and ability to put model in production
Desirable: Exp in Deep learning (NLP, NER, Computer Vision techniques).
Machine learning
Deep learning
R, Python",4.0,"Evoke Technologies
4.0",Hyderābād,501 to 1000 Employees,2003,Company - Private,IT Service,Information Technology,$25 to $50 million (USD)
Data Scientist,Employer Provided Salary:₹30L - ₹45L,"Job Description
Roles and Responsibilities
Jubilant FoodWorks is amidst transformation & expansion which will fuel the next level of growth and this creates both challenges and opportunities. While JFL is the largest QSR in the sub-continent, it is set to double in scale & size with a vision towards becoming a 2000+ Restaurant with Multi Business, Multi Product, Multi Country Operations.

Analytics & Insights function:
Our vision is to build Analytics & insight function a strategic differentiator for the company.",-1,Jubilant FoodWorks,Noida,10000+ Employees,1995,Company - Public,Fast-Food & Quick-Service Restaurant,"Restaurants, Bars & Food Service",Unknown / Non-Applicable
Data Scientist,₹8L - ₹10L (Glassdoor Est.),"Position Summary
Job Title— Data Scientist in Controllership Services—Deloitte Advisory
Deloitte & Touche’s Controllership market offering helps CFOs, CCOs, controllers, and business unit finance leaders reduce financial reporting risk resulting from changes in statutory reporting requirements, market volatility, and corporate actions or events; increase the financial integrity and transparency of cost allocations; enhance the efficiency of the “last mile of finance;” transform the finance function; and enhance the value that finance delivers to their business.",3.9,"Deloitte
3.9",Bangalore,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Analyst - Data Science - Python/Machine Learning,Employer Provided Salary:₹4L - ₹5L,"Analyst - Data Science - Python/Machine Learning
Hands-on with Machine Learning Concepts and algorithms such as Linear Regressions, Logistic Regression, Decision Tree, SVM, Random Forests, Bagging and Boosting, Recommendation systems etc with a decent grasp over the math behind some of the techniques
- Ability to mentor junior data scientists and critically evaluate the approaches discussed
- Ability to articulately present recommendations with senior leadership
- Be an active team member and execute complex analytical projects by leading and participating in tasks that use advanced statistical modeling and machine learning techniques
Job Type: Full-time",-1,Next gen computing,New Delhi,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Smart Infrastructure Division in Siemens Ltd. is one of the leading global suppliers of products, systems, solutions, and services for the efficient, reliable, and intelligent transmission and distribution of electrical power. As the trusted partner for the development and extension of an efficient and reliable power infrastructure that industry and the portfolio they need.

This includes facilities and systems for the low-voltage and distribution power grid level, smart grid and energy automation solutions, power supply for industrial plants, and high-voltage transmission systems.

We make real what matters. This is your role...

You have an experience in Spark, Hadoop, HBase, SCALA, NoSQL, Java, Big Data, Solr, Python, Machine Learning, information retrieval.",4.1,"Siemens Limited
4.1",Goa,5001 to 10000 Employees,2004,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$10+ billion (USD)
USI-EH22-EA-CMG-Tech CoE- Data Scientist-A,-1,"Position Summary

Deloitte US Client and Market Growth – Technology CoE - Analyst (Data scientist)
About Deloitte US Client and Market Growth organization
U.S. India, Client and Market Growth organizations (CMG) drive the marketing programs, initiatives, and priority client-facing programs in the U.S. regions. India CMG is focused on quality and operational excellence and is constantly challenging and refining its business model to ensure proper support of marketing processes, services, and deliverables in the United States. Mission of CMG is to support, augment, and complement marketing efforts of Deloitte through the development of marketing and business development materials and services.",3.9,"Deloitte
3.9",Gurgaon,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Scientist I,-1,"Department
Analytics and Business Intelligence
Job posted on
Dec 21, 2021
Employment type
Permanent
Experience range
0 - N.A.
Data Scientist – Analytics and Business Intelligence

Objective of our team is to drive sustainable data-driven decision making across the organization. This involves understanding business problems and opportunities, digging into data to validate hypotheses, building Data Science models, and putting in place reports and processes to enable sustainable use of data in decision-making.",3.7,"Delhivery
3.7",Bangalore,10000+ Employees,2011,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable
Data Scientist / Decision Scientist,-1,"Job Role & Responsibilities

Role:
Data Scientist Responsibilities:  Architect a data based solution for the business problem presented. Develop contextual automotive domain knowledge around the problem. Collaborate with the domain knowledge expert if required.

 Understand the IoT device (Telematics Control Unit) of the vehicle. Develop understanding of Time-Series Data originating from TCU.

 Understand the data landscape, establish the data adequacy beforehand

 Clean up and Prepare datasets for modeling, get involved in ETL process if required. Apply data transformation techniques such as resampling, filtering, encoding etc.

 Exploratory data and get insights. Present the descriptive stats and insights to the domain experts. Find meaningful patterns in data, detect seasonality and trend, establish cause and effect relationships in data. Develop & Test hypothesis in collaboration with the domain experts.

 Design features, shortlist features, study feature importance, decide the ML strategy  Data modelling, selection of an appropriate machine learning / deep learning model, data pipeline setup for model training, hyper-parameter tuning, validation and test. Apply ensemble model techniques (if required)

Comprehension of reports, visualization of data in the form of plots. Creating Heat Maps using Google Maps API  Mentoring juniors in data science

Technical Skills / Experience

 Must have minimum of 3 years of industry experience in developing data science models.

 Experience using machine learning algorithms (e.g. Generalized Linear Models, Boosting, Decision Trees, Neural Networks, SVM, Bayesian Methods, time series models, etc.)

 Hands-on experience in using machine learning models for regression and classification problems.

 Hands on experience in unsupervised machine learning algorithms. Working knowledge of clustering techniques such has, centroid based clustering.

 Working experience with Cloud Computing Platforms such as AWS / IBM  Strong programming skills in python is a must. Working experience with pandas, numpy, matplotlib, sklearn

 At least 3 years of industry experience in one or more full-time Data Science/ML roles

 Data Visualization techniques. Knowledge of visualization tools",3.9,"Maruti Suzuki India Ltd
3.9",Bangalore,10000+ Employees,-1,Company - Public,Transport Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Advanced Data Scientist,-1,"Innovate to solve the world's most important challenges
Senior Advanced Data Scientist for HR – Workforce & Intelligent Skill Planning

Deliver business value through Right and Fast partnership
Who We Are
Honeywell is a Fortune 100 company with global sales surpassing $40B and has been one of Fortune’s Most Admired Companies for over a decade. Through innovation, the Company brings together the physical and digital world to tackle some of the toughest societal and business problems – making the world a more productive, safe, and sustainable place.
The business is organized into five primary groups: Aerospace, Buildings, Performance Materials and Technologies, Safety and Productivity Solutions, and the Connected Enterprise. Honeywell specializes in things that are critically connected - beyond smart phones and laptops, we make the kinds of connections that keep cities working, planes flying, plants running, and workers safe. Our unique capabilities, over a century in the making, bring together data, expertise, and technology to connect people, processes, and assets.
Honeywell International is building a world that’s safer and more secure, more comfortable and energy efficient, more innovative and productive. For more information, please visit Honeywell.com or follow us @HoneywellNow.
Who You Are
We’re looking for a new team member who is motivated by cracking tough challenges with data, trained in problem solving, and with an unending thirst for learning.
As a Senior Advanced Data Scientist in Predictive Analytics of People Analytics team, you will join a high-performing, global team, and assist with designing, developing, and deploying data driven solutions for Human Resources & Communications function. You will be assigned to Data Science projects of “Workforce Planning & Intelligent Skill Planning” and “Talent Bench/E2E Learning – Talent Pipeline and Career Builder”. You will work closely with application architects to integrate results into operational platforms including containerized microservices and distributed compute and storage architectures.
Additionally, the Senior Advanced Data Scientist role is expected to work within Honeywell Human Resources & Communications function to identify opportunities for new growth and efficiencies based on data analyses both in adjacencies based on previous engagements, as well as larger industry developments.

Specific Responsibilities

Develop data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs
Foster relationships with Human Resources & Communications team by being proactive, displaying a thorough understanding of the business processes and by recommending innovative solutions
Communicate project output in terms of customer value, business objectives, and product opportunity
Promote data science methods and processes across functions
Work with our businesses and infrastructure teams to develop a strategy that will clearly outline how our enterprise platforms can enable business growth & productivity",3.8,"Honeywell
3.8",Bangalore,10000+ Employees,1885,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist,-1,"The Luxury Closet is a company born in Dubai, the heart of luxury in the Arabian Peninsula, where we are redefining the world of luxury. We seek to challenge the norms, and build a company that inspires the smart modern day luxury consumer. In Dubai, we have learnt to dream big, think far, and do what no one thought possible. The Luxury Closet embodies these ideals, and aims to build an iconic brand and company that will connect luxury connoisseurs, and change the future of luxury shopping.
Our mission is to be the leading marketplace for luxury shoppers in the GCC region. We will build a destination that has world class customer experience, differentiated technology and operational performance, and exceptional reach into the closets of the region. We were ranked as the Top 100 Startups Globally by Red Herring in 2016 and Top 4 Startups in UAE by Forbes Magazine, however, we care less for accolades, than our NPS.
Some facts about The Luxury Closet:",-1,The Luxury Closet,Gurgaon,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Job ID: 133783
Required Travel :Minimal
Managerial - No
Location: :India- Pune (Amdocs Site)
Who are we?
At Amdocs, our purpose is to enrich lives and progress society. With our creativity and technology, we help make a better connected world. Amdocs and its 25,000 employees serve the leading players in the communications and media industry, enabling next-generation experiences in 85 countries. Our cloud-native, open and dynamic portfolio of digital solutions, platforms and services brings greater choice, faster time to market and flexibility, to better meet the evolving needs of our customers as they drive growth, transform and take their business to the cloud. Listed on the NASDAQ Global Select Market, Amdocs had revenue of $4.1 billion in fiscal 2019. For more information, visit Amdocs at http://www.amdocs.com",3.9,"amdocs
3.9",Pune,10000+ Employees,1982,Company - Public,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD)
Data Scientist,-1,"Position Title: Data Scientist
Department: Transformation Team


Job Purpose

To support the data driven decision making for DBS products, processes, and business through the creation of data dashboards, infographics, models per business requirement.",3.9,"DBS Bank
3.9",Maharashtra,10000+ Employees,1968,Company - Public,Banks & Building Society,Finance,$5 to $10 billion (USD)
Data Science-Analyst/Consultant-A&C,-1,"Position Summary
Strategy & Analytics
Strategy
Our Strategy practice brings together several key capabilities that will allow us to architect integrated programs that transform our clients’ businesses, including Corporate & Business Unit Strategy, Technology Strategy & Insights, Enterprise Model Design, Enterprise Cloud Strategy and Business Transformation.
Strategy professionals will serve as trusted advisors to our clients, working with them to make clear data-driven choices about where to play and how to win, in order to drive growth and enterprise value.
Strategy will help our clients:
Identify strategies for growth and value creation",3.9,"Deloitte
3.9",Bangalore,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Data Scientist,-1,"About the role
A Data Scientist in Flipkart is required to develop and implement a mix of ML, statistical and optimization models for the various projects formulated from business and product views. The responsible person should be able to communicate and collaborate with multiple stakeholders representing various teams to better understand the problem at hand. At a fundamental level, the responsible person should be able to dive deep into a problem statement and extract interesting insights as well as solutions. In addition to being a quick learner, a DS is expected to get involved in active research projects with a view to publish them.

What you’ll do",4.1,"Flipkart
4.1",Bangalore,10000+ Employees,2007,Company - Private,Internet,Information Technology,$5 to $10 billion (USD)
Data Scientist Trainee,-1,"Company Overview
Incedo is a US-based consulting, data science and technology services firm with over 2,500 people helping clients from our six offices across US and India. We help our clients achieve competitive advantage through end-to-end digital transformation. Our uniqueness lies in bringing together strong engineering, data science, and design capabilities coupled with deep domain understanding. We combine services and products to maximize business impact for our clients in telecom, financial services, product engineering and life science & healthcare industries.
Working at Incedo will provide you an opportunity to work with industry leading client organizations, deep technology and domain experts, and global teams. Incedo University, our learning platform, provides ample learning opportunities starting with a structured onboarding program and carrying throughout various stages of your career. A variety of fun activities are also an integral part of our friendly work environment. Our flexible career paths allow you to grow into a program manager, a technical architect or a domain expert based on your skills and interests. Job Description
Data Scientist-Analyst


: Data Scientist-Analyst We are looking for self-motivated data scientists to join our Data science team. As a data scientist, candidate is expected to understand a business problem, formulate possible approaches and use required analytical techniques or/and develop machine learning or statistical models to solve the same. They are expected to display a maturity in deciding the solution approach keeping stakeholders in mind.

Role and responsibilities

Technical skills requirements

The candidate must demonstrate proficiency in,

Nice-to-have skills

Qualifications

Company Value
We are an Equal Opportunity Employer

We value diversity at Incedo. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",4.0,"Incedo
4.0",Gurgaon,1001 to 5000 Employees,2012,Company - Private,IT Service,Information Technology,$100 to $500 million (USD)
